capture,prompt_index,seed,query_dimension,layer,pre_normalized_w1,post_normalized_w1,post_pre_ratio
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,0,0.18979372084140778,6.882889270782471,36.265105295732276
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,1,1.3522777557373047,4.592740535736084,3.3962996997107124
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,2,0.6228800415992737,1.3067737817764282,2.097954171755488
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,3,0.9857823848724365,7.579012393951416,7.688321997082718
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,4,1.491729974746704,5.904052257537842,3.957855883763649
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,5,1.280349612236023,4.764713764190674,3.7214161809050745
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,6,1.446982741355896,2.644745111465454,1.8277654846022517
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,7,0.9347483515739441,5.272214412689209,5.640250024310576
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,8,0.5524595975875854,3.292767286300659,5.960195642684319
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,9,0.28149792551994324,1.2582285404205322,4.469761324516016
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,10,0.5375257134437561,0.8880263566970825,1.6520630259858275
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,11,0.8062747120857239,2.0676560401916504,2.5644560212522394
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,12,0.6620925068855286,1.027020812034607,1.5511741959831182
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,13,0.8630994558334351,0.9960280060768127,1.154013015933393
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,14,0.32434579730033875,3.288583755493164,10.139128617868264
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,15,0.43877920508384705,1.6466310024261475,3.7527553342266757
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,16,0.6702294945716858,1.171591877937317,1.7480458371740708
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,17,0.4549517035484314,1.221879482269287,2.6857344916815182
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,18,0.5977696180343628,2.2196149826049805,3.7131612508238683
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,19,0.4237790107727051,1.403469443321228,3.3117955529750915
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,20,0.5338098406791687,2.0760788917541504,3.889173135348621
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,21,0.46432560682296753,8.642477989196777,18.61296870601383
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,22,0.2683584988117218,1.5343009233474731,5.717355441103159
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,23,0.678392231464386,3.514648199081421,5.1808497150603525
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,24,0.6164560317993164,2.845505714416504,4.615910247663602
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,25,0.6323586702346802,2.2518365383148193,3.5610115656026675
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,26,0.7052735686302185,3.682468891143799,5.221334039634982
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,27,0.6275127530097961,0.995972216129303,1.5871744619567194
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,28,2.9613771438598633,14.502596855163574,4.8972475137904485
output/query_capture/prompt_0/prompt_000_seed_0_efc6d1f947_dim_0.pt,0,0,0,29,0.9891102910041809,5.29875373840332,5.357090899361518
